,playerID,nameFirst,nameLast,birthYear,birthCountry,G_c,G_all,AB,R,RBI,H,2B,3B,HR,AVG,PB,SB,inducted
51,kellyki01,King,Kelly,1857.0,USA,584.0,1456.0,5896.0,1357.0,950.0,1813.0,359.0,102.0,69.0,0.3074966078697422,420.0,308.0,True
52,kendaja01,Jason,Kendall,1974.0,USA,2025.0,2085.0,7627.0,1030.0,744.0,2195.0,394.0,35.0,75.0,0.28779336567457714,104.0,1222.0,False
53,kennete02,Terry,Kennedy,1956.0,USA,1378.0,1491.0,4979.0,474.0,628.0,1313.0,244.0,12.0,113.0,0.26370757180156656,68.0,1051.0,False
54,killebi01,Bill,Killefer,1887.0,USA,1004.0,1036.0,3150.0,237.0,240.0,751.0,86.0,21.0,4.0,0.2384126984126984,58.0,133.0,False
55,klingjo01,Johnny,Kling,1875.0,USA,1170.0,1264.0,4246.0,475.0,515.0,1154.0,181.0,61.0,20.0,0.2717852096090438,127.0,942.0,False
56,loducpa01,Paul,Lo Duca,1972.0,USA,932.0,1082.0,3892.0,483.0,481.0,1112.0,222.0,8.0,80.0,0.2857142857142857,51.0,610.0,False
57,lombaer01,Ernie,Lombardi,1908.0,USA,1542.0,1852.0,5855.0,601.0,990.0,1792.0,277.0,27.0,190.0,0.30606319385140907,152.0,0.0,True
58,lopezal01,Al,Lopez,1908.0,USA,1919.0,1950.0,5916.0,613.0,652.0,1547.0,206.0,43.0,51.0,0.2614942528735632,66.0,0.0,True
59,lopezja01,Javy,Lopez,1970.0,P.R.,1351.0,1503.0,5319.0,674.0,864.0,1527.0,267.0,19.0,260.0,0.2870840383530739,97.0,798.0,False
60,mackco01,Connie,Mack,1862.0,USA,610.0,724.0,2698.0,392.0,265.0,659.0,79.0,28.0,5.0,0.24425500370644923,310.0,752.0,True
61,mancugu01,Gus,Mancuso,1905.0,USA,1359.0,1460.0,4505.0,386.0,543.0,1194.0,197.0,16.0,53.0,0.26503884572697,73.0,0.0,False
62,mayje01,Jerry,May,1943.0,USA,525.0,556.0,1527.0,120.0,130.0,357.0,63.0,10.0,15.0,0.2337917485265226,41.0,174.0,False
63,mccarti01,Tim,McCarver,1941.0,USA,1386.0,1909.0,5529.0,590.0,645.0,1501.0,242.0,57.0,97.0,0.27147766323024053,132.0,636.0,False
64,mcleala01,Larry,McLean,1881.0,CAN,763.0,863.0,2647.0,183.0,298.0,694.0,90.0,26.0,6.0,0.26218360408009067,65.0,378.0,False
65,moranpa01,Pat,Moran,1876.0,USA,699.0,823.0,2634.0,198.0,262.0,618.0,102.0,24.0,18.0,0.23462414578587698,97.0,792.0,False
